"company_id","company_name","years","status","revenue","assets","total_liabilities","holders_equity","net_income","long_term_debt"
1,"Rite Aid",NA,"Defunct",24092,7527,8169,-642,-750,2938
1,"Rite Aid",NA,"Defunct",24568,8529,8430,99,-538,2748
1,"Rite Aid",NA,"Defunct",24043,9335,8720,615,-91,3080
1,"Rite Aid",NA,"Defunct",21928,9452,8778,675,-452,3097
1,"Rite Aid",NA,"Defunct",21640,7591,6405,1187,-422,3479
1,"Rite Aid",NA,"Defunct",21529,8989,7388,1601,943,3371
1,"Rite Aid",NA,"Defunct",22928,11594,10980,614,4,3273
1,"Rite Aid",NA,"Defunct",20770,11277,10696,581,165,6967
1,"Rite Aid",NA,"Defunct",26528,8777,8720,57,2109,5459
1,"Rite Aid",NA,"Defunct",25526,6945,9059,-2114,215,5708
1,"Rite Aid",NA,"Defunct",25392,7079,9538,-2459,107,5996
1,"Rite Aid",NA,"Defunct",26121,7364,9951,-2587,-379,6249
1,"Rite Aid",NA,"Defunct",25215,7556,9767,-2211,-565,6157
1,"Rite Aid",NA,"Defunct",25669,8050,9723,-1674,-516,6319
1,"Rite Aid",NA,"Defunct",26289,8327,9526,-1200,-2937,5971
2,"Universal Display (Joled)",NA,"Defunct",648,1832,216,1617,222,0
2,"Universal Display (Joled)",NA,"Defunct",576,1669,222,1447,202,0
2,"Universal Display (Joled)",NA,"Defunct",617,1533,257,1275,209,0
2,"Universal Display (Joled)",NA,"Defunct",554,1467,367,1100,184,0
2,"Universal Display (Joled)",NA,"Defunct",429,1269,357,913,132,0
2,"Universal Display (Joled)",NA,"Defunct",405,1120,309,811,137,0
2,"Universal Display (Joled)",NA,"Defunct",247,933,243,691,58,0
2,"Universal Display (Joled)",NA,"Defunct",336,780,121,659,102,0
2,"Universal Display (Joled)",NA,"Defunct",199,628,99,528,47,0
2,"Universal Display (Joled)",NA,"Defunct",191,559,93,467,15,0
2,"Universal Display (Joled)",NA,"Defunct",191,490,41,449,42,0
2,"Universal Display (Joled)",NA,"Defunct",147,463,35,428,74,0
2,"Universal Display (Joled)",NA,"Defunct",83,386,35,350,10,0
2,"Universal Display (Joled)",NA,"Defunct",61,374,32,342,3,0
2,"Universal Display (Joled)",NA,"Defunct",31,92,35,57,-20,0
2,"Universal Display (Joled)",NA,"Defunct",16,80,21,60,-21,0
3,"Metro-Goldwyn-Mayer (MGM)",NA,"Defunct",17241,42232,38546,3685,747,6362
3,"Metro-Goldwyn-Mayer (MGM)",NA,"Defunct",16164,42369,38034,4334,1142,6344
3,"Metro-Goldwyn-Mayer (MGM)",NA,"Defunct",13127,45692,40482,5210,1473,7433
3,"Metro-Goldwyn-Mayer (MGM)",NA,"Defunct",9680,40899,29922,10977,1254,11771
3,"Metro-Goldwyn-Mayer (MGM)",NA,"Defunct",5162,36495,25315,11180,-1033,12377
3,"Metro-Goldwyn-Mayer (MGM)",NA,"Defunct",12900,33876,21213,12663,2049,11169
3,"Metro-Goldwyn-Mayer (MGM)",NA,"Defunct",11763,30211,19741,10470,445,15088
3,"Metro-Goldwyn-Mayer (MGM)",NA,"Defunct",10797,29160,17549,11611,1934,12751
3,"Metro-Goldwyn-Mayer (MGM)",NA,"Defunct",9478,28173,18204,9969,1100,12979
3,"Metro-Goldwyn-Mayer (MGM)",NA,"Defunct",9190,25215,17451,7764,-448,12368
3,"Metro-Goldwyn-Mayer (MGM)",NA,"Defunct",10082,26594,18966,7628,-150,12805
3,"Metro-Goldwyn-Mayer (MGM)",NA,"Defunct",9810,26085,18224,7860,-172,13447
3,"Metro-Goldwyn-Mayer (MGM)",NA,"Defunct",9161,26285,18169,8116,-1768,13589
3,"Metro-Goldwyn-Mayer (MGM)",NA,"Defunct",7849,27766,17884,9882,3115,13470
3,"Metro-Goldwyn-Mayer (MGM)",NA,"Defunct",6056,18952,16020,2932,-1437,12048
3,"Metro-Goldwyn-Mayer (MGM)",NA,"Defunct",6011,22518,18648,3870,-1292,12976
4,"Toys 'R' Us",NA,"Defunct",8,18,33,-15,-19,0
4,"Toys 'R' Us",NA,"Defunct",22,35,33,2,-33,1
4,"Toys 'R' Us",NA,"Defunct",38,51,17,34,-25,10
4,"Toys 'R' Us",NA,"Defunct",22,64,8,56,-3,0
4,"Toys 'R' Us",NA,"Defunct",0,5,14,-9,-9,8
5,"Eastman Kodak",NA,"Defunct",1117,2355,1424,931,56,457
5,"Eastman Kodak",NA,"Defunct",1205,2285,1244,1041,13,316
5,"Eastman Kodak",NA,"Defunct",1150,2171,1390,781,22,253
5,"Eastman Kodak",NA,"Defunct",1029,1248,1171,77,-561,17
5,"Eastman Kodak",NA,"Defunct",1242,1415,1316,99,96,109
5,"Eastman Kodak",NA,"Defunct",1320,1510,1513,-3,-36,5
5,"Eastman Kodak",NA,"Defunct",1386,1707,1650,57,75,399
5,"Eastman Kodak",NA,"Defunct",1643,1776,1849,-73,15,405
5,"Eastman Kodak",NA,"Defunct",1803,2138,2035,103,-80,679
5,"Eastman Kodak",NA,"Defunct",2046,2556,2257,299,-123,672
5,"Eastman Kodak",NA,"Defunct",2358,3200,2552,648,1985,674
5,"Eastman Kodak",NA,"Defunct",2719,4321,7998,-3677,-1379,740
5,"Eastman Kodak",NA,"Defunct",3585,4678,7028,-2350,-764,1363
5,"Eastman Kodak",NA,"Defunct",5993,6226,7301,-1075,-687,1195
5,"Eastman Kodak",NA,"Defunct",7609,7691,7724,-33,-210,1129
6,"Pier 1 Imports",NA,"Defunct",1553,656,567,90,-199,246
6,"Pier 1 Imports",NA,"Defunct",1799,772,495,278,12,198
6,"Pier 1 Imports",NA,"Defunct",1828,843,551,292,30,199
6,"Pier 1 Imports",NA,"Defunct",1892,819,534,285,40,200
6,"Pier 1 Imports",NA,"Defunct",1885,907,570,337,75,201
6,"Pier 1 Imports",NA,"Defunct",1791,804,354,449,108,10
6,"Pier 1 Imports",NA,"Defunct",1705,857,320,537,129,10
6,"Pier 1 Imports",NA,"Defunct",1534,823,330,494,169,10
6,"Pier 1 Imports",NA,"Defunct",1396,744,331,413,100,10
6,"Pier 1 Imports",NA,"Defunct",1291,643,340,303,87,19
6,"Pier 1 Imports",NA,"Defunct",1321,655,511,144,-129,184
7,"Blockbuster",NA,"Defunct",0,1183500,1735500,-552000,-268000,0
7,"Blockbuster",NA,"Defunct",0,1538300,1852600,-314300,-558200,836000
7,"Blockbuster",NA,"Defunct",0,2154500,1940200,214300,-374100,583000
7,"Blockbuster",NA,"Defunct",0,2733600,2077900,655700,-73800,665600
7,"Blockbuster",NA,"Defunct",0,3134600,2411300,723300,50500,851000
7,"Blockbuster",NA,"Defunct",0,3179600,2548000,631600,-583900,1059400
7,"Blockbuster",NA,"Defunct",0,3994600,2931700,1062900,-1248800,1044900
7,"Blockbuster",NA,"Defunct",0,4822000,1633600,3188400,-978700,700
7,"Blockbuster",NA,"Defunct",0,6243800,2076800,4167000,-1621100,328900
7,"Blockbuster",NA,"Defunct",0,7752400,2003700,5748700,-240300,458400
8,"BlackBerry",NA,"Defunct",853,1395,619,776,-130,194
8,"BlackBerry",NA,"Defunct",656,1679,822,857,-734,0
8,"BlackBerry",NA,"Defunct",718,2567,1011,1556,12,507
8,"BlackBerry",NA,"Defunct",893,2818,1314,1504,-1104,720
8,"BlackBerry",NA,"Defunct",1040,3888,1359,2529,-152,0
8,"BlackBerry",NA,"Defunct",904,3968,1332,2636,93,665
8,"BlackBerry",NA,"Defunct",932,3780,1275,2505,405,782
8,"BlackBerry",NA,"Defunct",1309,3296,1239,2057,-1206,591
8,"BlackBerry",NA,"Defunct",2160,5534,2326,3208,-208,1277
8,"BlackBerry",NA,"Defunct",3335,6558,3127,3431,-304,1707
8,"BlackBerry",NA,"Defunct",6813,7552,3927,3625,-5873,1627
8,"BlackBerry",NA,"Defunct",11073,13165,3705,9460,-646,0
8,"BlackBerry",NA,"Defunct",18423,13731,3631,10100,1164,0
8,"BlackBerry",NA,"Defunct",19907,12875,3937,8938,3411,0
8,"BlackBerry",NA,"Defunct",14953,10205,2602,7603,2457,0
8,"BlackBerry",NA,"Defunct",11065,8101,2227,5874,1893,0
60,"CVS Health",NA,"Active",372809,253215,177485,75730,4614,60527
60,"CVS Health",NA,"Active",357776,249728,173092,76636,8344,58638
60,"CVS Health",NA,"Active",322467,228275,156506,71769,4311,50476
60,"CVS Health",NA,"Active",292111,232999,157618,75381,8001,51971
60,"CVS Health",NA,"Active",268706,230715,161014,69701,7179,59207
60,"CVS Health",NA,"Active",256776,222449,158279,64170,6634,64699
60,"CVS Health",NA,"Active",194579,196456,137913,58543,-594,71444
60,"CVS Health",NA,"Active",184786,95131,57436,37695,6622,22181
60,"CVS Health",NA,"Active",177546,94462,57628,36834,5317,25615
60,"CVS Health",NA,"Active",153290,92437,55234,37203,5237,26267
60,"CVS Health",NA,"Active",139367,74187,36224,37963,4644,11630
60,"CVS Health",NA,"Active",126761,71526,33588,37938,4592,12841
60,"CVS Health",NA,"Active",123120,6622,28568,37653,3864,9133
60,"CVS Health",NA,"Active",107080,64543,26492,38051,3462,9208
60,"CVS Health",NA,"Active",95778,62169,24469,37700,3427,8652
60,"CVS Health",NA,"Active",98215,61641,25873,35768,3696,8756
61,"LG Display",NA,"Active",17065,28607,21591,7016,-2187,9152
61,"LG Display",NA,"Active",18306,24980,17057,7923,-2150,6736
61,"LG Display",NA,"Active",26890,34339,21053,13286,1068,7832
61,"LG Display",NA,"Active",19384,28057,17868,10190,-71,8900
61,"LG Display",NA,"Active",18780,28460,18469,9991,-2264,9290
61,"LG Display",NA,"Active",22146,30190,16643,13546,-189,6398
61,"LG Display",NA,"Active",24588,25800,12545,13255,1595,3672
61,"LG Display",NA,"Active",23854,22396,10280,12116,816,3700
61,"LG Display",NA,"Active",25546,20319,8885,11434,870,2527
61,"LG Display",NA,"Active",26456,22967,11184,11783,917,3279
61,"LG Display",NA,"Active",24870,19978,10044,9934,385,2755
61,"LG Display",NA,"Active",26192,21765,12652,9114,210,3062
61,"LG Display",NA,"Active",22105,22898,13679,9219,-717,2133
61,"LG Display",NA,"Active",22960,21472,11517,9955,1043,851
61,"LG Display",NA,"Active",16491,15631,7535,8096,867,1661
62,"Lions Gate Entertainment",NA,"Active",4017,7093,7403,-311,-1115,2165
62,"Lions Gate Entertainment",NA,"Active",3855,7426,6640,786,-2010,2995
62,"Lions Gate Entertainment",NA,"Active",3604,8991,6308,2683,-188,2852
62,"Lions Gate Entertainment",NA,"Active",3272,8306,5512,2795,-19,2861
62,"Lions Gate Entertainment",NA,"Active",3890,7951,5291,2660,-188,2761
62,"Lions Gate Entertainment",NA,"Active",3681,8409,5487,2922,-284,2994
62,"Lions Gate Entertainment",NA,"Active",4129,8968,5811,3157,474,2650
62,"Lions Gate Entertainment",NA,"Active",3202,9197,6683,2514,15,3163
62,"Lions Gate Entertainment",NA,"Active",2347,3834,2984,850,50,877
62,"Lions Gate Entertainment",NA,"Active",2400,3292,2450,842,182,1371
62,"Lions Gate Entertainment",NA,"Active",2630,2852,2267,585,152,1079
62,"Lions Gate Entertainment",NA,"Active",2708,2761,2404,357,232,656
62,"Lions Gate Entertainment",NA,"Active",1588,2788,2698,90,-39,1147
62,"Lions Gate Entertainment",NA,"Active",1583,1569,1430,139,-30,437
62,"Lions Gate Entertainment",NA,"Active",1490,1527,1473,54,-30,544
62,"Lions Gate Entertainment",NA,"Active",1466,1667,1626,42,-178,586
63,"Walmart",NA,"Active",680985,260823,163402,97421,19436,39324
63,"Walmart",NA,"Active",648125,252399,162050,90349,15511,41841
63,"Walmart",NA,"Active",611289,243197,159443,83754,11680,39492
63,"Walmart",NA,"Active",572754,244860,152969,91891,13673,39107
63,"Walmart",NA,"Active",559151,252496,164965,87531,13510,45041
63,"Walmart",NA,"Active",523964,236495,154943,81552,14881,48021
63,"Walmart",NA,"Active",514405,219295,139661,79634,6670,50203
63,"Walmart",NA,"Active",500343,204522,123700,80822,9862,36825
63,"Walmart",NA,"Active",485873,198825,118290,80535,13643,42018
63,"Walmart",NA,"Active",482130,199581,115970,83611,14694,44030
63,"Walmart",NA,"Active",485651,203490,117553,85937,16363,43495
63,"Walmart",NA,"Active",476294,204751,123412,81339,16022,44559
63,"Walmart",NA,"Active",468651,203105,121367,81738,16999,41417
63,"Walmart",NA,"Active",446509,193406,117645,75761,15699,47079
63,"Walmart",NA,"Active",421849,180782,109535,71247,16389,43842
63,"Walmart",NA,"Active",408085,170407,97759,72648,14370,36401
63,"Walmart",NA,"Active",404254,163429,96350,67079,13381,34549
64,"Fujifilm",NA,"Active",2960916000,4783460000,1610145000,3169247000,243509000,691357000
64,"Fujifilm",NA,"Active",2859041000,4134311000,1346451000,2763145000,219422000,536900000
64,"Fujifilm",NA,"Active",2525773000,3955280000,1430340000,2502657000,211180000,588820000
64,"Fujifilm",NA,"Active",2192519000,3549203000,1327046000,2204566000,181205000,609576000
65,"Dollar Tree",NA,"Active",30604,22024,14710,7313,-998,3426
65,"Dollar Tree",NA,"Active",28332,23022,14271,8752,1615,3422
65,"Dollar Tree",NA,"Active",26321,21722,14003,7719,1328,3417
65,"Dollar Tree",NA,"Active",25509,20696,13411,7285,1342,3226
65,"Dollar Tree",NA,"Active",23611,19575,13320,6255,827,3522
65,"Dollar Tree",NA,"Active",22823,13501,7858,5643,-1591,4265
65,"Dollar Tree",NA,"Active",22246,16333,9151,7182,1714,4762
65,"Dollar Tree",NA,"Active",20719,15702,10312,5390,896,6170
65,"Dollar Tree",NA,"Active",15498,15901,11494,4407,282,7238
65,"Dollar Tree",NA,"Active",8602,3493,1708,1785,599,683
65,"Dollar Tree",NA,"Active",7840,2772,1601,1171,597,757
65,"Dollar Tree",NA,"Active",7395,2752,1085,1667,619,257
65,"Dollar Tree",NA,"Active",6631,2329,984,1345,488,250
65,"Dollar Tree",NA,"Active",5882,2381,922,1459,397,250
65,"Dollar Tree",NA,"Active",5231,2290,861,1429,321,250
65,"Dollar Tree",NA,"Active",4645,2036,783,1253,230,250
66,"Netflix",NA,"Active",39001,53630,28887,24744,8712,13798
66,"Netflix",NA,"Active",33723,48732,28144,20588,5408,14143
66,"Netflix",NA,"Active",31616,48595,27817,20777,4492,14353
66,"Netflix",NA,"Active",29698,44585,28735,15849,5116,14693
66,"Netflix",NA,"Active",24996,39280,28215,11065,2761,15809
66,"Netflix",NA,"Active",20156,33976,26394,7582,1867,14759
66,"Netflix",NA,"Active",15794,25974,20736,5239,1211,10360
66,"Netflix",NA,"Active",11693,19013,15431,3582,559,6499
66,"Netflix",NA,"Active",8831,13587,10907,2680,187,3364
66,"Netflix",NA,"Active",6780,10203,7979,2223,123,2371
66,"Netflix",NA,"Active",5505,7043,5185,1858,267,886
66,"Netflix",NA,"Active",4375,5413,4079,1334,112,500
66,"Netflix",NA,"Active",3609,3968,3223,745,17,400
66,"Netflix",NA,"Active",3205,3069,2426,643,226,400
66,"Netflix",NA,"Active",2163,982,692,290,161,200
66,"Netflix",NA,"Active",1670,680,481,199,116,237
67,"Apple",NA,"Active",391035,364980,308030,56950,93736,85750
67,"Apple",NA,"Active",383285,352583,290437,62146,96995,95281
67,"Apple",NA,"Active",394328,352755,302083,50672,99803,98959
67,"Apple",NA,"Active",365817,351002,287912,63090,94680,109106
67,"Apple",NA,"Active",274515,323888,258549,65339,57411,98667
67,"Apple",NA,"Active",260174,338516,248028,90488,55256,91807
67,"Apple",NA,"Active",265595,365725,258578,107147,59531,93735
67,"Apple",NA,"Active",229234,375319,241272,134047,48351,97207
67,"Apple",NA,"Active",215639,321686,193437,128249,45687,75427
67,"Apple",NA,"Active",233715,290345,170990,119355,53394,53329
67,"Apple",NA,"Active",182795,231839,120292,111547,39510,28987
67,"Apple",NA,"Active",170910,207000,83451,123549,37037,16960
67,"Apple",NA,"Active",156508,176064,57854,118210,41733,0
67,"Apple",NA,"Active",108249,116371,39756,76615,25922,0
67,"Apple",NA,"Active",65225,75183,27392,47791,14013,0
67,"Apple",NA,"Active",42905,47501,15861,31640,8235,0
